업체명,대표자명,주소,연락처
삼덕회계법인,김덕수,,
대구경북경영기술협동조합,김연화,,
백영철,백영철,,
주식회사하바만,김선중,경기 화성시 지산1길 12-2 티006호 지1층,010-9990-7767
미래기술경영컨설팅,박철용,대구 수성구 신천동로 320 7/703,
업코리아,김상혁,경기 수원시 영통구 대학4로 9 602호,031-211-1080
서비스업,이근호,,
이레경영연구원,신용세,서울 송파구 중대로12길 35 가락우성2차아파트 102동 1302호,010-4764-1039
노무법인 최상인업,김경모,,
미래기업연구원,정재섭,서울 영등포구 당산로4길 12 114동 1102호,010-8985-0262
미래비즈파트너스,이정희,경기 용인시 처인구 이동읍 처인성로 1140,031-275-2202
한빛디엔에스,이현화,서울 강서구 양천로 551-17,02-325-8115
이안,윤문구,,010-5259-2418
최병훈,최병훈,경기 평택시 서정로268번길 11 블루빌301,010-6638-3199
대한능력개발진흘원,이준열,,
BPCC,최우진,서울 광진구 자양로 73 동원빌딩 4층 506호,02-6479-2378
한국종합경제연구원,권형남,,
성보현,성보현,,
공동체경영연구소,이미영,,
에스앤드케이코퍼레이션,송경호,서울 양천구 목동중앙남로 11-32 인우아파트 101동 301호,02-2645-0219
형섭컨설팅,심형섭,,
게인그라운드,김규영,서울 중구 서소문로 89 순화빌딩 17층 LS-1730,010-3798-0172
양희정,양희정,충북 청주시 상당구 호미로 2 208-1301 대성베르힐2차,010-8965-7568
제로투원파트너스,김경태,,
뉴씽크,김중배,경기 용인시 기흥구 새천년로 40 411-101호,031-891-0994
(주)기업혁신센터,유재권,"서울 구로구 새말로 31 08291 ,  111동1401호(구로5동,신도림롯데아파트)",02-830-5894
삼성경영기술연구원,김달섭,대구 동구 장등로 85 명화빌딩3층,053-745-1637
방스커뮤니티(주),방용성,서울 서초구 반포대로14길 71 엘지서초에클라트 306호,02-3474-1553
새한경영컨설팅,박충남,강원특별자치도 홍천군 화촌면 설악로 2692 0,02-6490-5304
(주)비엠씨,조민제,부산 사하구 낙동대로 280 102동 104호,051-291-9026
산업경영연구원,조형제,대구 남구 대명복개로 50 3층,
허윤 경영지도사사무소,허윤,강원특별자치도 원주시 상지대길 83 다산관 11호,010-4687-9962
(주) 큐피에스,김대기,"경기 성남시 분당구 양현로 220 이매삼환아파트 1108동301호 (이매동,이매촌삼성아파트)",010-7129-5838
지원 세무회계컨설팅,김나린,서울 중구 퇴계로31길 27 프라임빌딩 402호,02-6674-6161
주)단군비즈,조수연,부산 해운대구 센텀5로 41 4층401호,051-1688-9962
경영기술지도법인 한국경영기술,권형남,서울 서초구 효령로31길 6 3층,02-585-2311
박이진,이승록,서울 동작구 노들로2길 7 1층B동wlstodqkswja,02-811-1151
오피스디포가산점,김성중,서울 금천구 벚꽃로 278 B1250호,02-3397-3361
(주)티이디컨설팅그룹,김현덕,서울 영등포구 선유로 27 410호,02-780-7679
김채희,김행곤,경남 양산시 명곡로 321 창업보육센터 2416호,055-385-1295
유인영,김민조,경기 광명시 양달로 7 광명역푸르지오105동2201호,
한남아이티컨설팅(주),소홍선,서울 금천구 가산디지털1로 168 C동 1508호,02-2026-3377
기업사랑컨설팅,전용운,,
ABC경영자문,전봉춘,,
다인커뮤니케이션,정대균,광주 광산구 앰코로 35 106호,062-974-0971
대명 비즈컨(주),김종인,광주 광산구 하남산단8번로 177 광주경제고용진흥원 5층 (도천동),062-954-4554
케이비즈컨설팅,정장운,서울 구로구 신도림로21길 25 303-1007,02-830-0233
